1h_RF,Tem
99,56
99,56
99,56
99,56
99,56
99,56
99,56
99,56
99,56
99,56
99,56
99,56
99,56
99,56
99,56
99,56
99,56
99,56
99,56
99,56
99,56
99,56
99,56
99,56
99,56
99,56
99,56
99,56
99,56
99,56
99,56
99,56
99,56
99,56
99,60
99,60
99,60
99,60
99,60
99,60
99,60
6,56.51
6,56.59
6,56.67
6,56.44
6,56.51
6,56.4
6,56.71
6,55.82
6,55.12
5.3,54.62
5.9,54.62
5.9,54.78
6.5,56.2
6.5,56.05
5.9,56.24
5.9,55.66
6.5,54.93
6.5,54.47
7.1,54.04
7.6,53.73
7.6,53.27
7.1,53.42
7.1,53.66
7.1,54.31
8.8,53.69
14.1,53.11
12.9,53.11
8.8,52.92
7.6,53.46
7.6,53.62
7.1,53.69
7.6,53.81
8.2,53.39
8.2,52.5
7.6,53.04
9.4,52.77
12.4,51.88
40.6,51.88
6,51.26
6,50.91
6,50.64
6,51.11
6,52.03
6,52.61
6,53.39
6,53.46
6,53.27
6,53.04
6,53.04
6,52.84
6,52.88
6,52.96
6,52.69
6,52.23
6,52
6,51.15
6,50.76
6,50.22
6,49.87
6,49.37
6,49.45
6,49.22
6,49.49
6,49.18
6,48.75
6,48.79
6,49.14
6,48.64
6,48.94
6,49.02
6,48.83
6,48.71
6,48.91
6,48.56
6,48.79
6,48.56
6,48.64
6,48.44
6,48.6
6,49.06
6,49.87
6,50.68
6,51.72
6,52.3
6,52.88
6,53.5
6,54.12
6,54.78
6,55.51
6,56.13
6,56.4
6,57.13
6,57.86
6,58.83
6,58.52
6,58.95
6,59.25
6,59.37
6,60.03
6,60.53
6.5,60.99
6.5,61.11
6.5,61.22
6.5,61.69
6.5,62.57
6.5,63.66
6.5,62.96
6.5,62.96
6.5,63.73
6.5,64
6.5,64.04
6.5,64.47
6.5,65.35
6.5,65.66
6.5,65.74
6.5,66.47
6.5,67.98
6.5,68.21
6.5,67.94
6.5,67.75
6.5,67.98
6.5,68.06
6.5,68.75
6.5,69.41
6.5,69.79
6.5,70.14
6.5,69.95
6.5,70.1
6.5,71.07
6.5,71.53
6.5,71.49
6.5,71.42
6.5,72
6.5,71.65
6.5,71.8
6.5,72.65
6.5,72.15
6.5,72.07
6.5,72.54
6.5,73
6.5,73.58
6.5,73.93
6.5,74.04
6.5,73.66
6.5,73.96
6.5,73.54
6.5,73.73
6.5,73.89
6.5,74.35
6.5,73.96
6.5,75.35
6.5,74.97
6.5,75.59
6.5,75.89
6.5,76.55
6.5,76.47
6.5,76.47
6.5,76.9
6.5,76.05
6.5,75.55
6.5,76.78
6.5,76.4
6.5,76.2
5.9,75.93
5.9,76.24
6.5,76.67
6.5,78.71
6.5,78.67
6.5,78.87
6.5,77.98
6.5,79.02
6.5,79.06
6.5,77.48
5.9,76.36
6.5,78.13
6.5,80.06
6.5,79.14
6.5,78.83
7.1,80.84
6.5,79.91
6.5,79.45
5.9,79.83
5.9,77.98
5.9,78.48
5.9,79.72
5.9,79.18
5.9,78.83
5.9,78.67
5.9,78.91
5.3,78.52
5.3,78.71
5.3,78.6
5.3,76.51
5.3,77.48
5.3,78.75
5.9,79.37
5.3,78.29
5.9,77.94
5.9,77.28
5.3,77.4
5.9,78.6
5.9,78.95
5.9,78.56
5.9,78.83
5.9,79.33
5.9,81.22
5.9,79.76
5.9,77.56
5.9,78.37
5.9,79.37
5.9,78.13
5.9,78.79
5.9,78.4
5.3,76.86
5.3,76.71
5.3,78.25
5.3,78.37
5.3,77.63
5.3,77.01
5.3,77.21
5.3,77.05
5.3,77.21
5.3,77.67
5.3,77.86
5.3,77.13
5.3,75.7
5.3,75.55
5.3,74.81
5.3,75.16
5.3,75.01
5.3,74.54
5.3,73.77
5.3,73.35
5.3,73
5.3,73.08
5.3,73.04
5.3,73
5.3,73.31
5.3,73.27
5.3,72.88
5.3,72.38
5.3,72.19
5.3,71.96
5.3,71.65
4.7,71.26
5.3,71.03
5.3,70.72
5.3,70.53
5.3,70.3
5.3,70.1
5.3,70.06
5.3,69.68
5.3,69.68
5.3,69.41
5.3,69.06
5.3,68.91
5.3,68.71
5.3,68.33
5.3,67.98
5.3,68.06
5.3,67.98
4.7,67.83
5.3,67.67
5.3,67.48
5.3,67.56
5.3,67.28
5.3,67.01
5.3,66.36
4.7,66.09
5.3,66.09
5.3,66.01
5.3,65.55
4.7,65.59
4.7,65.32
5.3,65.43
4.7,65.32
5.3,65.05
5.3,65.16
5.3,64.89
4.7,64.85
4.7,64.97
4.7,65.05
4.7,64.7
5.3,64.85
5.3,64.43
4.7,64.2
5.3,64.04
4.7,63.96
4.7,63.85
5.3,63.89
5.3,63.73
5.3,63.89
5,63.66
5,43
5,43
5,43
5,43
5,43
5,43
5,43
5,43
5,43
5,43
